timestamp(ms),BARO[1].Alt,GPS[0].Lat,GPS[0].Lng,ATT.Pitch,ATT.Yaw,ATT.Roll,GPS[0].Spd
2767192.7179093976,26.78369140625,511505337,-1142780749,4.419300556182861,90.6368408203125,-16.598722457885742,0.8050000667572021
2767292.7179093976,26.7484130859375,511505337,-1142780749,2.364666223526001,93.87088012695312,-14.054081916809082,0.8050000667572021
2767392.7179093976,26.49267578125,511505338,-1142780725,-0.7373960018157959,96.74711608886719,-12.394598007202148,0.9740000367164612
2767492.7179093976,26.2425537109375,511505338,-1142780725,-4.101129055023193,99.07286834716797,-10.738423347473145,0.9740000367164612
2767592.7179093976,26.095458984375,511505345,-1142780691,-6.961368560791016,100.95034790039062,-9.203903198242188,1.5600000619888306
2767692.7179093976,26.451416015625,511505345,-1142780691,-9.261641502380371,102.2527847290039,-7.425846099853516,1.5600000619888306
2767792.7179093976,26.03955078125,511505354,-1142780643,-11.096674919128418,103.21107482910156,-6.538692474365234,1.9060001373291016
2767892.7179093976,26.198486328125,511505354,-1142780643,-12.419754028320312,104.14461517333984,-5.699954509735107,1.9060001373291016
2767992.7179093976,26.207275390625,511505361,-1142780579,-13.28417682647705,104.77597045898438,-4.0325093269348145,2.5930001735687256
2768092.7179093976,25.7042236328125,511505361,-1142780579,-12.963058471679688,105.16141510009766,-2.3351142406463623,2.5930001735687256
2768192.7179093976,25.8660888671875,511505369,-1142780498,-11.357379913330078,105.35428619384766,-1.1265709400177002,3.075000047683716
2768292.7179093976,26.0013427734375,511505369,-1142780498,-8.48094367980957,105.43682098388672,0.5154585838317869,3.075000047683716
2768392.7179093976,26.3101806640625,511505373,-1142780407,-4.230935573577881,105.5835952758789,2.035010576248169,3.3930001258850098
2768492.7179093976,26.339599609375,511505373,-1142780407,0.38622885942459106,105.57076263427734,3.1442127227783203,3.3930001258850098
2768592.7179093976,26.5396728515625,511505373,-1142780309,5.519763946533203,105.65043640136719,3.1601765155792236,3.4750001430511475
2768692.7179093976,26.948486328125,511505373,-1142780309,9.711145401000977,105.37348937988281,1.9445797204971313,3.4750001430511475
2768792.7179093976,26.98681640625,511505368,-1142780212,13.008917808532715,104.76441955566406,1.565621256828308,3.372000217437744
